feature,shap_edinburgh,shap_phq9,shap_F53
A08.4,6.0445605119491734e-05,0.0,1.9645189374885164e-05
A54.9,0.00032690722907095267,0.0,3.827269465211723e-05
A56.2,5.299607679541384e-06,9.101923271231008e-06,8.092858372851035e-06
A56.8,0.00015665033885588604,3.3476540920149366e-05,0.00029423235377951486
A59.0,8.435255468965732e-05,0.0001214850378411831,0.00015146430904680437
A59.9,6.776111579002883e-05,0.00011043039833419527,0.00014848971530145516
A60.0,0.0007396979244654298,0.000723488683041606,0.0007588798000657741
A60.9,2.491224016189126e-05,2.3705225355633515e-05,1.652906096227498e-05
A63.0,4.190897171982267e-05,9.398682286839547e-05,5.2515275964615845e-05
A64,4.2788123914891766e-05,0.0,2.4483100090670902e-06
A74.9,0.0003799690129947416,0.0013274661013023496,0.00023153187430574086
B00.1,0.00024049806367337835,5.0040239703887485e-06,5.2119893096859e-05
B00.8,1.434208711013628e-05,9.341511711468403e-06,1.2295621806868416e-05
B00.9,0.00087973778001097,0.0008476760278927711,0.001233184021657586
B18.2,7.691058319580288e-06,0.0,3.477201484017381e-05
B19.2,2.247735503571907e-05,2.2257265397628157e-05,9.791564176680275e-05
B34.9,0.0001380255430279923,0.00022081984415028673,9.658706049319631e-05
B35.4,1.5980541641163277e-06,0.00016310933120187686,2.0426488168463092e-05
B37.2,0.00010433667352754934,4.446202514975269e-05,3.8076496519861846e-05
B37.3,0.0015182182547064601,0.002168193277919916,0.0021681510862523404
B37.9,0.0005128874743149158,0.002333846105767003,0.00048126267436565185
B95.1,0.0009067013888338358,0.0004560692587897992,0.00023430502394095932
B96.2,0.00017867723941167993,0.00024380155089797164,0.00012658844244326726
B96.8,0.001974420226654522,0.0012388859665258055,0.0009954319954581265
B97.7,3.440397458479019e-05,6.75095297017377e-05,5.7498555715140575e-05
B97.8,0.0003384610066177827,9.580076742258742e-05,0.000236181056132818
D22.9,5.7421878431207865e-05,0.00014258096306538081,0.000119210074154075
D25.1,0.00019967014921831386,0.0,0.0001339592625016891
D25.2,5.585330950897374e-05,1.865693660759048e-05,2.336959776919239e-05
D25.9,0.00032162601126986643,0.00010807185090344057,0.0004401072714206661
D50.0,6.372448594870966e-05,0.0003166920057593359,1.5411900195863857e-05
D50.8,0.0002781074600493464,0.00015247385899352123,0.0010365694498554138
D50.9,0.0007611167754168819,0.00035995921964331534,0.0002804538263674057
D56.3,0.00014288512038996372,3.637387722920126e-05,5.069054544636963e-05
D57.3,0.0001497882074758888,0.00033575955016992593,0.00011006565986291679
D58.2,4.609997033477834e-06,0.0,8.356140991675006e-06
D62,0.0008867945112631852,0.0008461444875762045,0.0006097947121008206
D64.8,0.00042862926041905305,0.00042215382855002376,0.00012872546386019648
D64.9,0.0007839899198484448,0.0003318954675274141,0.00062890981147767
D68.5,0.00012017960674111265,9.453821792186792e-05,5.017380417473566e-06
D69.5,0.0001618472000616126,7.70369207344183e-05,5.241598212130917e-05
D69.6,0.0004629397911600553,0.0005746795279367782,0.000176788704545679
D72.8,0.0002670389089923031,0.000415211801482147,0.000158037730054053
E03.8,0.00019686636455784983,1.7343789665651892e-05,9.30054279718225e-05
E03.9,0.00032342170035101476,0.0004336003237392037,0.0007170168605084846
E04.1,3.319166011796717e-05,0.0001117306686759769,1.5940972962955276e-05
E04.9,2.4490521064180597e-05,2.5761233438865612e-05,2.6858401469897893e-05
E05.9,0.0008225806366642437,1.4017940651174062e-05,7.424993108510615e-05
E06.3,2.32467788819565e-05,1.8371074539609407e-05,5.274984308448006e-05
E07.9,0.0008449576729999922,0.0001624404764693053,0.000578280376450459
E10.6,0.0001255880855610066,0.0,1.206893909039428e-05
E10.9,0.0002987896715026284,0.0,3.78310234019725e-05
E11.6,7.717293507961541e-05,0.0,3.318747542872885e-05
E11.9,0.0001283648859554795,0.0005386066149066616,0.00011295546049919666
E16.2,2.197129095823841e-05,1.1598614443833383e-05,1.4807146856798378e-05
E28.2,0.0003397803923186393,0.0004503603444827884,0.0003394067662704681
E53.8,0.0001272934311190483,9.507768358396175e-05,0.00011296384888827658
E55.9,0.00014440241348382155,0.00013645560029899533,0.0003888368038782556
E61.1,0.00011520617612270875,2.9817160014483566e-05,6.839167964963836e-05
E66.0,0.0005547045592602823,0.004091015553403867,0.003219533618329293
