dx,mental_cat,match_type
T37.2X2D,self_harm,exact
T37.2X2S,self_harm,exact
T37.3X2,self_harm,exact
T37.3X2A,self_harm,exact
T37.3X2D,self_harm,exact
T37.3X2S,self_harm,exact
T37.4X2,self_harm,exact
T37.4X2A,self_harm,exact
T37.4X2D,self_harm,exact
T37.4X2S,self_harm,exact
T37.5X2,self_harm,exact
T37.5X2A,self_harm,exact
T37.5X2D,self_harm,exact
T37.5X2S,self_harm,exact
T37.8X2,self_harm,exact
T37.8X2A,self_harm,exact
T37.8X2D,self_harm,exact
T37.8X2S,self_harm,exact
T37.92,self_harm,exact
T37.92XA,self_harm,exact
T37.92XD,self_harm,exact
T37.92XS,self_harm,exact
T38.0X2,self_harm,exact
T38.0X2A,self_harm,exact
T38.0X2D,self_harm,exact
T38.0X2S,self_harm,exact
T38.1X2,self_harm,exact
T38.1X2A,self_harm,exact
T38.1X2D,self_harm,exact
T38.1X2S,self_harm,exact
T38.2X2,self_harm,exact
T38.2X2A,self_harm,exact
T38.2X2D,self_harm,exact
T38.2X2S,self_harm,exact
T38.3X2,self_harm,exact
T38.3X2A,self_harm,exact
T38.3X2D,self_harm,exact
T38.3X2S,self_harm,exact
T38.4X2,self_harm,exact
T38.4X2A,self_harm,exact
T38.4X2D,self_harm,exact
T38.4X2S,self_harm,exact
T38.5X2,self_harm,exact
T38.5X2A,self_harm,exact
T38.5X2D,self_harm,exact
T38.5X2S,self_harm,exact
T38.6X2,self_harm,exact
T38.6X2A,self_harm,exact
T38.6X2D,self_harm,exact
T38.6X2S,self_harm,exact
T38.7X2,self_harm,exact
T38.7X2A,self_harm,exact
T38.7X2D,self_harm,exact
T38.7X2S,self_harm,exact
T38.802,self_harm,exact
T38.802A,self_harm,exact
T38.802D,self_harm,exact
T38.802S,self_harm,exact
T38.812,self_harm,exact
T38.812A,self_harm,exact
T38.812D,self_harm,exact
T38.812S,self_harm,exact
T38.892,self_harm,exact
T38.892A,self_harm,exact
T38.892D,self_harm,exact
T38.892S,self_harm,exact
T38.902,self_harm,exact
T38.902A,self_harm,exact
T38.902D,self_harm,exact
T38.902S,self_harm,exact
T38.992,self_harm,exact
T38.992A,self_harm,exact
T38.992D,self_harm,exact
T38.992S,self_harm,exact
T39.012,self_harm,exact
T39.012A,self_harm,exact
T39.012D,self_harm,exact
T39.012S,self_harm,exact
T39.092,self_harm,exact
T39.092A,self_harm,exact
T39.092D,self_harm,exact
T39.092S,self_harm,exact
T39.1X2,self_harm,exact
T39.1X2A,self_harm,exact
T39.1X2D,self_harm,exact
T39.1X2S,self_harm,exact
T39.2X2,self_harm,exact
T39.2X2A,self_harm,exact
T39.2X2D,self_harm,exact
T39.2X2S,self_harm,exact
T39.312,self_harm,exact
T39.312A,self_harm,exact
T39.312D,self_harm,exact
T39.312S,self_harm,exact
T39.392,self_harm,exact
T39.392A,self_harm,exact
T39.392D,self_harm,exact
T39.392S,self_harm,exact
T39.4X2,self_harm,exact
T39.4X2A,self_harm,exact
T39.4X2D,self_harm,exact
T39.4X2S,self_harm,exact
T39.8X2,self_harm,exact
T39.8X2A,self_harm,exact
T39.8X2D,self_harm,exact
T39.8X2S,self_harm,exact
T39.92XA,self_harm,exact
T39.92XD,self_harm,exact
T39.92XS,self_harm,exact
T40.0X2,self_harm,exact
T40.0X2A,self_harm,exact
T40.0X2D,self_harm,exact
T40.0X2S,self_harm,exact
T40.1X2,self_harm,exact
T40.1X2A,self_harm,exact
T40.1X2D,self_harm,exact
T40.1X2S,self_harm,exact
T40.2X2,self_harm,exact
T40.2X2A,self_harm,exact
T40.2X2D,self_harm,exact
T40.2X2S,self_harm,exact
T40.3X2,self_harm,exact
T40.3X2A,self_harm,exact
T40.3X2D,self_harm,exact
T40.3X2S,self_harm,exact
T40.5X2,self_harm,exact
T40.5X2A,self_harm,exact
T40.5X2D,self_harm,exact
T40.5X2S,self_harm,exact
T40.602,self_harm,exact
T40.602A,self_harm,exact
T40.602D,self_harm,exact
T40.602S,self_harm,exact
T40.692,self_harm,exact
T40.692A,self_harm,exact
T40.692D,self_harm,exact
T40.692S,self_harm,exact
T40.8X2,self_harm,exact
T40.8X2A,self_harm,exact
T40.8X2D,self_harm,exact
T40.8X2S,self_harm,exact
T40.902,self_harm,exact
T40.902A,self_harm,exact
T40.902D,self_harm,exact
T40.902S,self_harm,exact
T40.992,self_harm,exact
T40.992A,self_harm,exact
T40.992D,self_harm,exact
T40.992S,self_harm,exact
T41.0X2,self_harm,exact
T41.0X2A,self_harm,exact
T41.0X2D,self_harm,exact
T41.0X2S,self_harm,exact
T41.1X2,self_harm,exact
T41.1X2A,self_harm,exact
T41.1X2D,self_harm,exact
T41.1X2S,self_harm,exact
T41.202,self_harm,exact
T41.202A,self_harm,exact
T41.202D,self_harm,exact
T41.202S,self_harm,exact
T41.292,self_harm,exact
T41.292A,self_harm,exact
T41.292D,self_harm,exact
T41.292S,self_harm,exact
T41.3X2,self_harm,exact
T41.3X2A,self_harm,exact
T41.3X2D,self_harm,exact
T41.3X2S,self_harm,exact
T41.42XA,self_harm,exact
T41.42XD,self_harm,exact
T41.42XS,self_harm,exact
T41.5X2,self_harm,exact
T41.5X2A,self_harm,exact
T41.5X2D,self_harm,exact
T41.5X2S,self_harm,exact
T42.0X2,self_harm,exact
T42.0X2A,self_harm,exact
T42.0X2D,self_harm,exact
T42.0X2S,self_harm,exact
T42.1X2,self_harm,exact
T42.1X2A,self_harm,exact
T42.1X2D,self_harm,exact
T42.1X2S,self_harm,exact
T42.2X2,self_harm,exact
T42.2X2A,self_harm,exact
T42.2X2D,self_harm,exact
T42.2X2S,self_harm,exact
T42.3X2,self_harm,exact
T42.3X2A,self_harm,exact
T42.3X2D,self_harm,exact
T42.3X2S,self_harm,exact
T42.4X2,self_harm,exact
T42.4X2A,self_harm,exact
T42.4X2D,self_harm,exact
T42.4X2S,self_harm,exact
T42.5X2,self_harm,exact
T42.5X2A,self_harm,exact
T42.5X2D,self_harm,exact
T42.5X2S,self_harm,exact
T42.6X2,self_harm,exact
T42.6X2A,self_harm,exact
T42.6X2D,self_harm,exact
T42.6X2S,self_harm,exact
T42.72XA,self_harm,exact
T42.72XD,self_harm,exact
T42.72XS,self_harm,exact
T42.8X2,self_harm,exact
T42.8X2A,self_harm,exact
